tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
2016-03-13,7CAK9QA,VOLVO,V40,2014,165912,5238,898
2012-02-04,TZJUYC7,FORD,ESCORT,2002,54736,7651,1018
2017-10-17,W6T28YN,VOLVO,V40,2001,20696,5695,541
2015-03-27,GJ2XHIA,FIAT,ALBEA,2002,44239,2496,1174
2019-06-19,UTWLEV3,MERCEDES,S600,2007,89224,8475,677
2015-01-14,AMPJLFK,FIAT,ALBEA,2005,48466,5076,389
2014-03-11,3C9UL6N,FIAT,LINEA,2003,129971,1480,1831
2017-08-28,3CIASKT,VOLKSWAGEN,PASSAT,2000,123741,5906,1424
2018-03-14,CVDMWWI,VOLKSWAGEN,POLO,2008,80347,2238,1013
2014-07-24,MXQKFJT,FIAT,DOBLO,2012,37995,5463,1604
2015-10-31,SW3BKVJ,FIAT,EGEA,2010,199341,1659,292
2013-04-19,BBXWDLH,VOLVO,V60,2009,50524,4624,1229
2017-05-02,6DMGYVP,FORD,ESCORT,2014,91518,5824,1298
2013-01-05,Y12XNWG,VOLKSWAGEN,POLO,2004,22508,9132,321
2018-08-19,5FQ6HXU,FIAT,DOBLO,2018,48745,349,599
2015-11-07,DMZ8L4Y,VOLVO,S40,2006,197950,4439,1556
2019-12-27,4LZMVLX,VOLVO,V40,2010,83550,6295,774
2015-04-27,IXZU7VT,FORD,ESCORT,2007,198274,7387,1987
2019-02-14,FGKIBSE,FIAT,EGEA,2010,126989,873,1321
2018-03-02,YG8Z9AW,FORD,FIESTA,2010,166033,9357,1180
2011-07-25,Z3ZU3XL,FORD,KUGA,2000,48466,7415,1493
2017-10-16,Z8QAEJ6,MERCEDES,A180,2002,187221,1641,382
2020-05-27,8R6I4OH,FIAT,LINEA,2014,132214,8005,1740
2013-12-06,0TQY4Y3,VOLKSWAGEN,PASSAT,2007,100664,615,1840
2015-03-22,L3YYRYA,MERCEDES,E200,2009,115442,4414,1638
2019-04-20,BXP0FKN,MERCEDES,E200,2000,84476,3515,1318
2017-04-06,F4DUGSV,MERCEDES,A180,2010,83256,6001,1372
2012-08-26,8SMWE6R,VOLVO,V60,2006,62710,7131,1404
2017-05-08,NVR02EI,VOLKSWAGEN,JETTA,2012,191238,705,348
2016-09-07,10ATDKR,MERCEDES,C180,2003,43644,4289,1965
2012-05-03,WKI88LE,FIAT,SPIDER,2011,41986,8430,400
2012-03-30,G5K6817,VOLKSWAGEN,GOLF,2002,24750,4819,943
2020-01-20,VOHWWTK,VOLVO,V60,2012,22895,3129,1948
2011-01-04,1MPX5CG,FORD,KA,2001,95968,8914,504
2019-08-09,PYGR2K5,VOLKSWAGEN,SCIROCCO,2017,62163,5545,980
2015-08-30,IZX4TYB,MERCEDES,A180,2012,172102,6866,1358
2012-03-03,16Z1APY,MERCEDES,C180,2009,70636,7680,1264
2017-12-25,LF44UTG,FIAT,MAREA,2005,112545,4527,1703
2019-02-11,LS9CGVI,FIAT,EGEA,2000,137447,1825,752
2012-02-01,L241X88,FIAT,ALBEA,2001,145803,2039,1602
2014-07-26,M29OUZS,VOLVO,S60,2014,52811,2632,520
2011-11-20,QWBB7HP,FIAT,EGEA,2007,13456,8036,812
2017-12-16,0W44VAT,VOLVO,S60,2014,153790,6416,1613
2019-11-24,J0FO33O,MERCEDES,A180,2006,151958,9501,1729
2020-05-24,2UFN16G,VOLKSWAGEN,JETTA,2018,85671,6611,440
2015-10-04,Y84JAEH,VOLVO,XC90,2013,179410,6301,1015
2018-09-18,Y87UY8K,VOLVO,V60,2016,126239,233,974
2016-01-06,BWPUGZQ,MERCEDES,S350,2015,69968,6279,1094
2014-09-03,5IL2JHA,MERCEDES,E200,2014,55576,1132,937
2013-02-07,QM816N9,VOLKSWAGEN,GOLF,2013,87060,3627,306
2016-12-08,MC73WSM,MERCEDES,C180,2013,75020,3042,1059
2013-08-31,GSY52IL,FORD,KUGA,2001,22772,6839,867
2011-06-23,RFAUXHS,MERCEDES,E250,2007,123014,4081,1199
2013-03-10,OPJICB0,FORD,ESCORT,2003,195446,6094,1479
2010-09-24,4NSYXAO,FIAT,ALBEA,2003,53701,6170,670
2013-01-11,J9A4AIF,VOLVO,S40,2003,123829,7427,1331
2014-07-05,Z7R8FEN,MERCEDES,E200,2003,123503,5531,616
2011-09-18,BYLHKFJ,FORD,FIESTA,2000,68054,5155,1486
2010-08-25,6E5BMTM,FORD,KA,2010,53109,4603,1235
2014-02-11,MNFQROW,FIAT,ALBEA,2001,108838,2983,1827
2019-11-01,3UVDCE2,VOLVO,S90,2005,41937,9411,647
2010-03-16,5IN05C0,FIAT,EGEA,2003,129873,1415,415
2018-01-17,OAJ6FMT,FIAT,FIORINO,2007,167124,1042,734
2020-01-29,JZI4X0R,VOLVO,S40,2011,159485,1839,258
2011-11-05,8GYBAA3,FIAT,LINEA,2011,144479,1058,1734
2014-08-18,3KM8F7Y,FORD,KUGA,2010,175094,3067,607
2020-04-24,U1ENMVD,VOLKSWAGEN,PHOETON,2003,125603,1285,1888
2012-05-09,78DI472,FORD,KA,2001,106222,4242,1457
2018-01-17,GBL2F6M,VOLVO,XC90,2005,86994,9478,740
2012-12-04,PEPC123,VOLVO,S90,2011,82421,1693,547
2018-01-05,57P0RB9,FIAT,MAREA,2004,9973,4076,861
2015-06-10,4X1C21O,VOLKSWAGEN,GOLF,2003,151104,5345,857
2016-09-23,LBNSAO6,FIAT,LINEA,2007,113331,4368,1369
2010-08-20,4JXFCAV,MERCEDES,A180,2004,18614,3790,1095
2016-08-01,FMTWLXE,FIAT,FIORINO,2002,164037,2600,1995
2016-09-08,V2R5PPN,MERCEDES,C180,2003,137180,6374,1087
2017-11-30,6PUBTTO,VOLVO,XC90,2001,17247,4714,1432
2015-09-26,K94WR1R,VOLVO,V40,2002,136843,8457,1778
2011-06-03,UOLQNZZ,VOLVO,V40,2010,34124,881,1443
2015-03-23,5AI2CZK,MERCEDES,A180,2014,185828,7164,539
2018-08-04,UPUB5ZW,FORD,MONDEO,2000,194243,6000,1563
2015-09-17,JI6X4RE,MERCEDES,E200,2009,3233,4823,1448
2012-11-01,PC13E6I,VOLVO,S40,2000,116422,7646,1125
2011-05-29,JDBIPH4,VOLVO,S60,2005,168665,933,1360
2019-12-13,B83T0GI,VOLVO,S40,2001,24990,1471,1779
2018-05-08,CX2FN9R,FORD,MONDEO,2017,19257,9008,1926
2013-11-26,89OZA1F,MERCEDES,C180,2008,118449,2049,704
2016-10-23,77VRYFQ,MERCEDES,S350,2000,63229,1122,1498
2018-09-06,IX0OIPT,VOLVO,S90,2001,181287,403,1614
2019-04-09,DKVPIUI,FIAT,DOBLO,2009,127067,7959,575
2011-02-23,Q6D0JGQ,MERCEDES,S350,2007,86655,5839,947
2018-08-11,7E6DOQD,FORD,KUGA,2003,43890,6936,1347
2018-07-05,R91TRVW,VOLKSWAGEN,POLO,2003,141149,8317,1208
2016-02-03,4OUS8WZ,VOLVO,XC90,2015,122441,7541,1137
2017-05-28,AKCN5CC,FORD,ESCORT,2014,5494,5776,494
2018-04-11,U4Y7GUF,FIAT,LINEA,2002,20279,8779,1407
2017-06-13,D7UPT9C,VOLVO,XC90,2011,78992,284,1037
2010-11-30,YLKL9MV,VOLVO,S90,2009,179037,3990,856
2013-09-09,XW47FQG,FIAT,ALBEA,2001,73411,3303,1044
2013-02-06,ENY3C1N,FIAT,DOBLO,2000,61430,7657,1961
2015-03-25,CPVJKZ1,MERCEDES,S350,2001,10025,8125,1989
2018-05-31,VM5OZ5B,VOLKSWAGEN,POLO,2008,63287,5415,1813
2015-02-12,6XSWRZ8,FIAT,ALBEA,2001,24115,438,774
2017-09-11,422F7SD,FIAT,LINEA,2001,188180,9203,941
2012-12-21,ELHN5UR,FORD,FIESTA,2000,89979,6741,1698
2016-06-20,KNXDW14,FORD,FOCUS,2001,169303,8831,280
2016-07-18,MLRM2CB,VOLVO,S40,2008,180931,5889,1207
2019-12-29,HTD2GE0,FIAT,SPIDER,2009,31457,6580,1195
2012-05-04,5M5HPZV,MERCEDES,A180,2004,172740,7775,1984
2011-12-07,C280GU9,FIAT,DOBLO,2011,76418,9301,458
2010-02-04,BMY9CTT,VOLKSWAGEN,PASSAT,2005,125521,5422,1412
2011-10-04,6HRZVHT,VOLVO,S60,2010,13422,3729,282
2014-12-17,0WUEM4Y,VOLKSWAGEN,PHOETON,2008,184890,6844,398
2010-06-03,L2JYBCV,VOLKSWAGEN,POLO,2002,167862,4647,1244
2012-03-10,QSM80QI,FORD,FOCUS,2006,138001,7893,1900
2010-10-08,R76ID1P,VOLVO,V60,2002,17273,6566,1039
2014-04-02,BS1ZVDX,FIAT,DOBLO,2010,172205,2866,757
2010-05-15,D6F3YPV,VOLVO,S90,2006,95184,4573,1580
2015-07-12,JF352K8,MERCEDES,S600,2005,18995,9076,1955
2010-04-18,H68IZH9,VOLVO,S90,2000,52543,7895,1056
2015-08-19,K3JJX8E,VOLVO,V40,2014,118181,2975,1005
2011-02-24,ZPLY3AU,VOLKSWAGEN,PHOETON,2011,188874,2933,1888
2010-07-03,SQXHY2T,FIAT,LINEA,2009,171836,117,399
2018-12-15,TVWBWUM,MERCEDES,E200,2008,170064,758,1476
2013-02-14,V6KRJ1N,MERCEDES,A180,2001,87845,3628,1175
2010-02-10,0Z9H1D4,VOLVO,V40,2010,35262,3151,1100
2011-11-06,4N2VIWZ,FIAT,FIORINO,2003,65734,3891,285
2017-03-04,KGFJXFD,FIAT,LINEA,2007,171502,2384,275
2015-01-09,BOVU97C,FIAT,SPIDER,2007,137671,8571,769
2020-05-20,ITMYIXM,VOLKSWAGEN,PASSAT,2012,41776,6746,769
2013-01-19,XUKIXN7,FORD,FOCUS,2010,64998,7473,1797
2013-06-19,IC16FZT,VOLVO,XC90,2000,80296,6262,1579
2011-01-19,8HRGV3F,FORD,FIESTA,2008,155819,6372,590
2010-11-07,6P96BDK,FIAT,EGEA,2009,178030,5546,1108
2012-01-30,OTAY9PA,FIAT,FIORINO,2004,54162,872,1097
2020-05-06,WX1A71Z,FIAT,ALBEA,2001,20137,342,1818
2018-06-08,D20VTP0,FIAT,MAREA,2003,78263,2059,1460
2011-07-10,FQ82BSA,FIAT,FIORINO,2010,112289,6365,305
2011-04-09,T3TZ722,VOLVO,S90,2001,2201,1378,1809
2019-08-16,B7TZVB9,VOLKSWAGEN,POLO,2013,84329,2788,563
2019-01-30,FX4WDES,FORD,KUGA,2015,10423,2867,569
2015-12-11,D34IWKM,MERCEDES,C180,2012,72577,5591,1746
2017-04-20,E06P5M9,VOLKSWAGEN,SCIROCCO,2015,176594,2708,990
2016-09-03,AAHXFHS,VOLKSWAGEN,PHOETON,2008,83894,8596,550
2018-03-09,IYLPV1P,VOLVO,S60,2012,38795,8624,1403
2018-10-12,HC5GDTY,VOLVO,S90,2003,62352,2720,501
2013-05-08,NT13W1V,MERCEDES,A180,2003,171224,5652,342
2014-08-27,QBVHMZO,VOLVO,S40,2009,123791,2806,1312
2010-08-08,RAH3ETF,FIAT,MAREA,2003,120753,7647,872
2016-07-27,5AZL67X,VOLKSWAGEN,SCIROCCO,2011,178926,6502,1738
2016-08-21,1EEFJ1Y,FORD,MONDEO,2015,183183,522,317
2011-08-30,Q5WZO2N,VOLKSWAGEN,GOLF,2000,109904,8199,1408
2012-09-11,0C4EK56,MERCEDES,S600,2011,166202,9778,1227
2016-02-26,VOJ9GVY,VOLKSWAGEN,SCIROCCO,2003,28190,1724,1168
2019-06-03,WU6JBJC,MERCEDES,S600,2005,122475,3882,1760
2018-07-04,6YS713F,FORD,KA,2003,53416,8497,505
2015-01-20,RGCGL2S,VOLKSWAGEN,PASSAT,2012,28588,3067,1446
2011-06-05,7ZWCR7J,FORD,ESCORT,2004,91834,6262,927
2015-12-23,2UKJJ2N,MERCEDES,E200,2001,125217,9669,329
2011-07-20,WV21X0R,FORD,FOCUS,2004,5272,1393,1381
2011-08-26,EH57JR1,FORD,FIESTA,2008,78543,730,1085
2020-01-21,R8PAZ8Z,VOLVO,S40,2016,84278,4644,1610
2016-01-08,GQW6N8D,MERCEDES,E250,2002,193860,7505,1575
2013-05-17,LM829QU,VOLVO,V40,2009,129797,2160,1160
2018-01-29,UFAU0VA,MERCEDES,S350,2010,76109,3394,266
2015-12-30,1K9OI7N,MERCEDES,S350,2008,34126,1796,378
2018-08-10,FZWEYOW,VOLKSWAGEN,SCIROCCO,2015,83776,6607,1706
2015-01-06,WKCZWAS,FORD,KUGA,2005,162620,5851,1796
2016-04-07,N9O4QZG,MERCEDES,S350,2009,55918,1665,1039
2016-01-10,9IOLI1H,VOLKSWAGEN,PHOETON,2011,64069,4206,1630
2011-05-24,JV47IHP,FIAT,ALBEA,2008,29287,7387,994
2011-07-07,Q20CRPC,FIAT,SPIDER,2011,92914,6521,496
2016-11-07,IQBFKKU,FORD,MONDEO,2008,112166,5271,1323
2014-05-09,XHDEICH,MERCEDES,A180,2008,38180,6264,1423
2013-05-24,BMMCQR9,VOLKSWAGEN,SCIROCCO,2013,49182,4413,1378
2019-01-11,36PWDX9,FIAT,ALBEA,2013,171364,7971,1748
2017-06-26,MVEO4IG,FIAT,ALBEA,2013,176797,9022,1589
2020-02-24,QJICY6H,FIAT,MAREA,2019,38918,2277,543
2016-12-20,E28XLGD,VOLVO,V40,2005,178230,9283,1117
2016-03-09,5I3DJ4F,MERCEDES,S350,2000,81653,5668,526
2013-09-19,MFJQMMA,VOLVO,V60,2013,36488,3963,924
2011-04-16,FVJ0E0N,VOLKSWAGEN,POLO,2008,122448,9708,449
2011-01-17,K1CZGZZ,VOLKSWAGEN,SCIROCCO,2003,54225,4949,1650
2012-03-19,8O6RM0V,VOLKSWAGEN,PASSAT,2005,10385,4701,1229
2020-05-10,L5C6BG1,FORD,FIESTA,2016,138048,5770,1894
2014-10-07,AKVWIN5,VOLKSWAGEN,SCIROCCO,2008,128200,742,1424
2017-06-04,Q526LS5,FORD,KUGA,2005,185409,1771,723
2015-07-30,VN7S0UT,VOLVO,S90,2011,131342,7644,1975
2011-09-28,6D2RORT,VOLVO,S60,2005,174864,8291,719
2015-11-11,TIHXNAT,VOLVO,S90,2008,55876,8417,358
2011-07-24,YAN7NU5,FIAT,EGEA,2006,168370,5423,679
2011-12-27,PE7MBOO,MERCEDES,E250,2003,127817,8067,472
2016-09-22,V31IZ9Y,FORD,MONDEO,2015,8847,5444,1767
2018-01-25,U8D5BKR,VOLKSWAGEN,JETTA,2010,27603,8396,1890
2016-01-31,8D1UG6L,FORD,KUGA,2005,179334,9277,1543
2016-07-07,T9UFB4I,MERCEDES,C180,2014,101605,4861,1827
2014-01-08,2L0WT3N,MERCEDES,S600,2008,3328,7279,747
2012-06-28,H904YTZ,MERCEDES,E200,2012,165617,2157,1060
2015-10-15,B77Y75A,FIAT,EGEA,2013,175922,74,872
2019-05-25,YQQRY8H,MERCEDES,C180,2009,88778,1521,335
2010-03-31,093LQ9C,MERCEDES,E250,2003,153278,1678,324
2011-03-13,S11QYQI,FORD,KUGA,2009,126870,5318,389
2017-06-27,RDG9KDG,MERCEDES,E200,2005,32177,7536,1009
2012-02-09,SGV6Y44,VOLVO,XC90,2001,165982,8900,1551
2012-07-18,RRDMAPY,MERCEDES,C180,2011,38071,2969,1648
2016-02-09,HD4ZX1T,FIAT,LINEA,2007,143185,9511,998
2016-03-04,9PXTTAW,VOLVO,S40,2003,96668,2505,486
2013-04-23,J03X1NR,VOLKSWAGEN,GOLF,2006,167783,4050,1777
2020-01-24,8BGFPJI,FIAT,ALBEA,2007,59525,9436,1770
2014-01-27,6R3LAT2,FIAT,MAREA,2011,166855,2762,1300
2014-10-12,VL7KJ89,FORD,KA,2001,57471,8142,779
2012-12-20,JUGH8YF,VOLVO,XC90,2010,176269,1830,1364
2013-07-28,M3VCPE3,MERCEDES,E250,2005,102211,8554,1027
2011-09-21,WLT7A24,VOLVO,XC90,2007,169070,8790,1341
2015-01-06,4E1YYVL,FORD,ESCORT,2007,4574,4698,619
2013-10-28,1AXIVU8,VOLVO,XC90,2005,14216,3628,702
2016-03-13,WPH7SM8,FIAT,MAREA,2005,186913,8284,375
2019-08-09,I2OQQGB,MERCEDES,A180,2008,119477,8294,1391
2016-04-30,B6N3ULK,FIAT,ALBEA,2000,153128,3833,1096
2011-11-17,KC7G4WY,VOLVO,S40,2001,147402,9432,699
2010-11-06,VAWTW6K,VOLKSWAGEN,PHOETON,2009,114004,6513,1425
2018-03-23,IHLU9ZA,MERCEDES,C180,2001,133147,7231,1303
2013-10-26,NREJPZK,MERCEDES,E200,2002,23111,3862,402
2011-01-26,LQ5KL67,MERCEDES,E200,2006,149583,5746,715
2016-03-31,V7ZEEIY,FORD,KUGA,2006,62511,1419,1881
2013-03-13,7QGQDBN,VOLKSWAGEN,SCIROCCO,2006,181730,2665,1191
2010-05-22,1ZTZ39T,FORD,KUGA,2010,132829,3037,1909
2017-09-15,XMTGG6P,MERCEDES,C180,2001,167326,5619,1756
2013-01-24,2CRKVOG,FIAT,ALBEA,2005,90430,7023,502
2018-09-11,C356WSW,MERCEDES,S350,2016,47496,8839,721
2014-12-18,YOSEICN,FORD,KA,2004,56339,792,1176
2017-04-08,990DGWF,FIAT,LINEA,2012,117787,9343,681
2019-01-12,BNAS6LD,VOLKSWAGEN,POLO,2015,120024,7856,344
2017-07-14,S1OBW8F,FORD,KA,2007,110507,8045,876
2014-06-06,QIST83N,VOLVO,V40,2014,63281,3554,361
2012-11-14,SC7T38D,MERCEDES,C180,2010,56420,1519,581
2014-09-02,Z8ZUTPL,VOLKSWAGEN,GOLF,2011,61809,8914,1230
2010-11-08,7R0JEBU,FIAT,SPIDER,2000,68389,7633,346
2018-10-19,QPN24VB,VOLKSWAGEN,PASSAT,2017,44167,3847,1915
2017-02-03,EOSSDDM,FORD,KUGA,2007,136109,2941,823
2010-07-30,NAHV54E,VOLVO,V60,2002,194316,4095,1828
2010-03-14,ZYRZ9BV,VOLVO,V40,2000,100323,3662,1721
2015-01-08,MFC9YJ0,VOLKSWAGEN,POLO,2005,65120,827,1897
2017-01-17,9UAUEQ0,VOLKSWAGEN,JETTA,2001,93205,9851,1912
2012-03-09,SFNI9J4,VOLKSWAGEN,POLO,2005,6117,1252,1201
2011-10-21,DQAV8P1,VOLKSWAGEN,JETTA,2005,166834,1532,345
2015-10-28,IW39XBB,MERCEDES,C180,2012,166099,4451,1692
2018-04-07,1PHRK45,FORD,ESCORT,2010,145277,5498,1231
2010-03-03,NGFJ7E4,FIAT,FIORINO,2010,49720,8401,1956
2010-09-22,TAFJBJX,FORD,FIESTA,2008,163351,8670,930
2013-02-01,ATB9EEY,FIAT,ALBEA,2006,79701,8259,1390
2018-02-11,BBR79M5,FIAT,ALBEA,2001,181037,9192,1224
2015-03-28,ADIQRR6,VOLVO,S60,2003,77578,3487,1191
2010-08-21,UE248N6,FIAT,EGEA,2009,184271,262,917
2013-02-27,5F9QRRP,FIAT,SPIDER,2002,84210,4684,916
2013-09-29,FS4S62B,VOLKSWAGEN,JETTA,2004,110240,3926,635
2014-07-29,7MNC42T,FORD,MONDEO,2013,157341,4992,994
2017-10-20,DK5WR2Q,FORD,FOCUS,2009,43711,9791,1136
2018-07-19,JDDIAUG,FIAT,FIORINO,2003,31789,3591,968
2015-11-17,PO1BCXL,FORD,MONDEO,2002,165717,6723,928
2013-04-10,U00XZKC,VOLKSWAGEN,JETTA,2005,20116,4242,1835
2010-03-29,AXOZBY9,VOLVO,V60,2008,76964,8734,579
2016-09-11,RFMKZHN,VOLVO,S40,2002,107097,6872,1445
2010-08-03,LSAHPQ6,MERCEDES,E200,2008,42594,7989,1548
2011-01-17,60AOQCT,VOLKSWAGEN,POLO,2004,94059,1717,543
2011-03-02,O3W8XOG,VOLKSWAGEN,POLO,2004,73925,3224,1297
2013-02-23,Y7PF1KI,VOLKSWAGEN,JETTA,2009,172733,8098,494
2010-11-25,236H9O6,VOLVO,V40,2009,108438,1226,1791
2014-01-18,G2SVF77,VOLVO,S40,2003,179834,5314,755
2013-06-15,B1VSQVA,MERCEDES,S600,2008,29333,7343,1385
2019-02-27,G08X0KJ,VOLVO,S40,2001,163841,7282,1388
2014-03-23,RE8BD4D,MERCEDES,A180,2013,72770,8839,1619
2011-02-07,DL3XUE2,VOLKSWAGEN,JETTA,2006,50980,6382,1462
2015-10-08,BIWVP01,VOLVO,S40,2013,98811,5369,955
2014-08-04,DNE7Z2L,VOLKSWAGEN,JETTA,2010,114262,7002,972
2019-08-06,YV4JCDN,FIAT,ALBEA,2012,120813,9369,1432
2015-06-06,IEQ5O91,FIAT,DOBLO,2007,81352,4669,667
2014-03-07,1S0R9GP,VOLKSWAGEN,PHOETON,2011,143491,6099,1401
2010-10-03,YQYVNJY,VOLVO,V60,2007,65100,3014,1953
2014-04-03,XUU4YSW,FORD,FIESTA,2005,179802,3316,1236
2014-07-22,NBKA0XS,VOLKSWAGEN,PASSAT,2006,154543,1973,874
2014-03-17,X779ECX,VOLKSWAGEN,POLO,2010,72921,8826,260
2019-02-22,2ULS69Y,VOLVO,S90,2018,137000,130,706
2016-10-23,4CXY5G2,VOLKSWAGEN,PASSAT,2010,29302,6002,1599
2010-09-24,TKO76OF,FIAT,ALBEA,2010,196857,1664,861
2012-04-29,TFVCICG,VOLKSWAGEN,POLO,2008,10979,9097,1781
2013-07-01,139AEDI,VOLVO,S90,2013,60281,7634,1186
2018-11-29,JNVBIAS,FORD,KUGA,2002,25402,3182,324
2014-06-12,T4D40U7,VOLKSWAGEN,JETTA,2004,149371,6616,1113
2014-07-04,R6UKM89,MERCEDES,S350,2005,104874,2828,343
2015-11-28,VMH10BM,MERCEDES,S600,2000,164357,1186,711
2019-01-09,GVB0QZ2,VOLVO,S60,2002,9597,2211,1570
2015-01-20,3DPEGC1,FORD,KA,2005,114213,3568,976
2016-10-15,071R4MG,MERCEDES,A180,2006,27370,2557,1447
2016-03-30,A557B5S,MERCEDES,C180,2013,37739,2423,325
2014-05-29,9T8T7Z1,FIAT,SPIDER,2000,37225,8514,1218
2012-10-25,9OXSC23,FIAT,LINEA,2006,100883,3626,1722
2020-03-27,8G52SI6,VOLKSWAGEN,PASSAT,2001,150727,4125,544
2018-12-09,AC2KFM9,VOLKSWAGEN,PHOETON,2011,136519,7503,1508
2013-03-21,S466DP3,FORD,KUGA,2009,122759,6285,1609
2017-05-14,BKUYWS3,FORD,FOCUS,2013,123291,7098,701
2014-07-11,D1M7XFA,FIAT,ALBEA,2013,10279,4138,1163
2019-07-15,WEF1N1Y,MERCEDES,S350,2012,172487,3442,1777
2012-06-26,OL51YHD,FIAT,ALBEA,2001,94836,2990,977
2018-01-09,GZR44LX,VOLKSWAGEN,JETTA,2012,133870,3251,1449
2014-01-12,S8HS9BB,FIAT,MAREA,2010,69150,2181,657
2019-07-20,LTRIHPB,FORD,FOCUS,2014,64431,8004,1562
2018-06-12,LVXE47L,VOLVO,S90,2010,159893,880,987
2015-07-22,COI8X5B,FORD,MONDEO,2011,36851,4316,797
2018-01-20,AC208JB,FORD,FIESTA,2016,32981,4917,371
2020-04-09,0WHWUYN,MERCEDES,E250,2016,189288,568,1555
2019-06-23,V8IDGVJ,MERCEDES,E250,2007,166454,2010,1326
2014-10-07,9Z8G0ZL,FORD,ESCORT,2002,5493,7879,1436
2010-09-22,0XAIPC0,MERCEDES,S600,2000,25162,3000,262
2014-11-07,SZDZ3IH,MERCEDES,E250,2005,123800,4116,1940
2010-07-01,ZL7KGN5,MERCEDES,E250,2009,41413,7734,1622
2012-01-13,2MGTW1Z,FIAT,FIORINO,2010,87755,3058,1170
2010-02-26,3EX8421,FORD,KUGA,2003,28737,9194,1556
2015-07-26,SLBWIFQ,FORD,FIESTA,2015,127694,1708,1439
2013-06-22,U94CCIA,MERCEDES,C180,2001,176864,5263,1576
2011-04-19,WK18P1Z,VOLKSWAGEN,PASSAT,2004,29080,4404,464
2016-03-21,D2G0MTL,FIAT,EGEA,2012,137965,7317,1649
2015-05-23,KH74A4Z,VOLKSWAGEN,JETTA,2006,159799,7444,1034
2017-01-20,LZP6I50,FORD,MONDEO,2015,41316,5622,288
2020-03-30,Y20AK4F,FORD,FIESTA,2020,13881,9834,955
2018-09-08,1G2X2O8,VOLVO,S60,2005,75858,1511,1206
2017-09-15,LBNP3X3,VOLVO,S40,2013,135326,5545,352
2012-04-11,53QCIVW,MERCEDES,S350,2002,49448,9933,447
2012-01-24,PZTJD47,MERCEDES,C180,2008,135367,4196,668
2015-12-22,AK9KGMO,FIAT,FIORINO,2003,138872,979,1893
2012-09-18,ZBKATVH,VOLVO,S40,2003,147952,1036,742
2011-06-10,9TWCN8V,VOLVO,S40,2005,53118,1124,1211
2010-07-25,O8LCTFY,VOLVO,S90,2000,76024,4407,648
2010-06-18,96LMGO1,VOLKSWAGEN,SCIROCCO,2004,16836,7605,783
2014-05-16,GE53N9D,MERCEDES,E200,2002,22174,4815,924
2011-12-04,1C47L1X,VOLKSWAGEN,SCIROCCO,2006,79844,2030,1147
2011-12-03,4SFSV9W,VOLVO,S60,2008,129714,7954,1571
2018-12-12,JNYGAU0,FORD,ESCORT,2010,100563,535,736
2016-08-01,ZJRKB2E,VOLKSWAGEN,PASSAT,2013,12576,3662,886
2010-08-15,PTSN00P,VOLKSWAGEN,JETTA,2001,61135,8672,273
2010-12-04,3YKX4XU,VOLKSWAGEN,SCIROCCO,2001,186794,5385,597
2018-11-06,PNF4DI7,FORD,FOCUS,2007,194047,8566,716
2015-06-30,IE259C5,FIAT,ALBEA,2011,126256,7112,1499
2016-03-19,41NWM7L,VOLKSWAGEN,PHOETON,2013,55143,672,1099
2014-06-20,7RP121N,MERCEDES,E200,2006,46350,5428,1871
2015-12-08,CSSH9DO,VOLKSWAGEN,JETTA,2003,167260,5003,1777
2014-03-04,YCRWFW5,MERCEDES,E250,2007,7160,1836,1444
2015-06-26,IV6X35K,VOLKSWAGEN,POLO,2012,11545,9812,1256
2014-11-05,YY4I982,FORD,KUGA,2007,22525,488,1907
2019-05-17,6OAWY5T,MERCEDES,E250,2010,121453,5879,656
2012-02-02,6ZTHPLK,VOLKSWAGEN,JETTA,2008,123186,8954,960
2019-06-11,GI110QQ,VOLVO,S60,2006,144255,1232,968
2012-07-11,9YVOP8C,FIAT,MAREA,2011,56158,5519,332
2017-11-03,1P8RE7I,VOLVO,V40,2007,63518,5910,890
2011-06-17,6PPEEBO,VOLVO,S90,2008,22600,6512,483
2014-10-13,38CKK2C,FIAT,EGEA,2001,58580,2280,1261
2018-08-02,Y60CABK,VOLVO,S90,2015,49846,5169,1335
2020-04-03,DAU38RW,FORD,FOCUS,2014,96098,5788,877
2010-02-08,Q0BN9QR,VOLKSWAGEN,GOLF,2007,149976,5262,1500
2013-10-28,DH3CIPL,FORD,FIESTA,2002,169419,637,830
2020-01-10,DGZ1L4L,VOLKSWAGEN,PHOETON,2015,196934,9011,1747
2015-12-08,0L6HQ25,MERCEDES,C180,2001,104328,3529,306
2017-02-22,5WIL1U0,FORD,ESCORT,2012,48996,3611,820
2016-04-02,Q3TCRXJ,VOLKSWAGEN,JETTA,2007,165772,2929,435
2018-08-08,GFZ2QJA,FIAT,LINEA,2012,47955,3469,1772
2017-12-17,619DD6M,MERCEDES,E200,2004,184777,2621,1461
2010-10-22,QRC1GGS,MERCEDES,C180,2003,68441,7186,912
2014-03-28,5SOV4WG,FIAT,EGEA,2014,59262,1788,1896
2011-03-23,ZC3YYA9,VOLKSWAGEN,PHOETON,2003,47610,5249,497
2013-01-24,S41F5AD,VOLVO,S90,2001,88181,7072,705
2013-02-04,5E08D0C,FIAT,LINEA,2009,85874,2128,1784
2019-06-15,ZKUE37P,MERCEDES,E200,2014,138294,7509,1508
